Vehicle Description,"2018 A5 Sportback 2.0T quattro Stronic",Term,60
VIN,WAUENCF55JA050591,Interest Rate,2.49%
Contract Date,03/30/2021,Amount Financed,"$26,858.71"
Payment Date,Amount,Interest,Principal,Remaining Balance
05/14/2021,$477.04,$82.45,$394.59,"$26,464.12"
06/14/2021,$477.04,$55.96,$421.08,"$26,043.04"
07/14/2021,$477.04,$53.30,$423.74,"$25,619.30"
08/14/2021,$477.04,$54.18,$422.86,"$25,196.44"
09/14/2021,$477.04,$53.29,$423.75,"$24,772.69"
10/14/2021,$477.04,$50.70,$426.34,"$24,346.35"
11/14/2021,$477.04,$51.48,$425.56,"$23,920.79"
12/14/2021,$477.04,$48.96,$428.08,"$23,492.71"
01/14/2022,$477.04,$49.68,$427.36,"$23,065.35"
Payment Date,Amount,Interest,Principal,Remaining Balance
02/14/2022,$477.04,$48.78,$428.26,"$22,637.09"
03/14/2022,$477.04,$43.24,$433.80,"$22,203.29"
04/14/2022,$477.04,$46.96,$430.08,"$21,773.21"
05/14/2022,$477.04,$44.56,$432.48,"$21,340.73"
06/14/2022,$477.04,$45.13,$431.91,"$20,908.82"
07/14/2022,$477.04,$42.79,$434.25,"$20,474.57"
08/14/2022,$477.04,$43.30,$433.74,"$20,040.83"
09/14/2022,$477.04,$42.38,$434.66,"$19,606.17"
10/14/2022,$477.04,$40.13,$436.91,"$19,169.26"
11/14/2022,$477.04,$40.54,$436.50,"$18,732.76"
12/14/2022,$477.04,$38.33,$438.71,"$18,294.05"
01/14/2023,$477.04,$38.69,$438.35,"$17,855.70"
02/14/2023,$477.04,$37.76,$439.28,"$17,416.42"
03/14/2023,$477.04,$33.27,$443.77,"$16,972.65"
04/14/2023,$477.04,$35.89,$441.15,"$16,531.50"
05/14/2023,$477.04,$33.83,$443.21,"$16,088.29"
06/14/2023,$477.04,$34.02,$443.02,"$15,645.27"
07/14/2023,$477.04,$32.02,$445.02,"$15,200.25"
08/14/2023,$477.04,$32.15,$444.89,"$14,755.36"
09/14/2023,$477.04,$31.20,$445.84,"$14,309.52"
Payment Date,Amount,Interest,Principal,Remaining Balance
10/14/2023,$477.04,$29.29,$447.75,"$13,861.77"
11/14/2023,$477.04,$29.31,$447.73,"$13,414.04"
12/14/2023,$477.04,$27.45,$449.59,"$12,964.45"
01/14/2024,$477.04,$27.42,$449.62,"$12,514.83"
02/14/2024,$477.04,$26.47,$450.57,"$12,064.26"
03/14/2024,$477.04,$23.87,$453.17,"$11,611.09"
04/14/2024,$477.04,$24.56,$452.48,"$11,158.61"
05/14/2024,$477.04,$22.84,$454.20,"$10,704.41"
06/14/2024,$477.04,$22.64,$454.40,"$10,250.01"
07/14/2024,$477.04,$20.98,$456.06,"$9,793.95"
08/14/2024,$477.04,$20.71,$456.33,"$9,337.62"
09/14/2024,$477.04,$19.75,$457.29,"$8,880.33"
10/14/2024,$477.04,$18.17,$458.87,"$8,421.46"
11/14/2024,$477.04,$17.81,$459.23,"$7,962.23"
12/14/2024,$477.04,$16.30,$460.74,"$7,501.49"
01/14/2025,$477.04,$15.86,$461.18,"$7,040.31"
02/14/2025,$477.04,$14.89,$462.15,"$6,578.16"
03/14/2025,$477.04,$12.57,$464.47,"$6,113.69"
04/14/2025,$477.04,$12.93,$464.11,"$5,649.58"
05/14/2025,$477.04,$11.56,$465.48,"$5,184.10"
Payment Date,Amount,Interest,Principal,Remaining Balance
06/14/2025,$477.04,$10.96,$466.08,"$4,718.02"
07/14/2025,$477.04,$9.66,$467.38,"$4,250.64"
08/14/2025,$477.04,$8.99,$468.05,"$3,782.59"
09/14/2025,$477.04,$8.00,$469.04,"$3,313.55"
10/14/2025,$477.04,$6.78,$470.26,"$2,843.29"
11/14/2025,$477.04,$6.01,$471.03,"$2,372.26"
12/14/2025,$477.04,$4.86,$472.18,"$1,900.08"
01/14/2026,$477.04,$4.02,$473.02,"$1,427.06"
02/14/2026,$477.04,$3.02,$474.02,$953.04
03/14/2026,$477.04,$1.82,$475.22,$477.82
04/14/2026,$478.83,$1.01,$477.82,$0.00
"",,Total Interest,Total Principal,
"",,"$1,765.48","$26,858.71",
